2026-06-15 14:56:46.939690: I tensorflow/core/util/port.cc:153] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the environment variable `TF_ENABLE_ONEDNN_OPTS=0`.
2026-06-15 14:56:47.033053: I tensorflow/core/platform/cpu_feature_guard.cc:210] This TensorFlow binary is optimized to use available CPU instructions in performance-critical operations.
To enable the following instructions: AVX2 AVX512F AVX512_VNNI FMA, in other operations, rebuild TensorFlow with the appropriate compiler flags.
tb_monitor -> tb/sweep | total=1080 | every 30s
[  83.3 min]  369/1080 (34.2%)  rate= 3.1/min  eta=230.8 min  workers=30
[  83.8 min]  370/1080 (34.3%)  rate= 3.1/min  eta=230.5 min  workers=30
[  84.3 min]  372/1080 (34.4%)  rate= 3.1/min  eta=229.8 min  workers=30
[  84.8 min]  375/1080 (34.7%)  rate= 3.5/min  eta=200.3 min  workers=30
[  85.3 min]  376/1080 (34.8%)  rate= 3.5/min  eta=200.0 min  workers=30
[  85.8 min]  381/1080 (35.3%)  rate= 4.0/min  eta=176.5 min  workers=30
[  86.3 min]  382/1080 (35.4%)  rate= 4.0/min  eta=176.2 min  workers=30
[  86.8 min]  383/1080 (35.5%)  rate= 3.7/min  eta=186.3 min  workers=30
[  87.3 min]  385/1080 (35.6%)  rate= 3.7/min  eta=185.8 min  workers=30
[  87.8 min]  386/1080 (35.7%)  rate= 3.7/min  eta=185.5 min  workers=30
[  88.4 min]  387/1080 (35.8%)  rate= 3.7/min  eta=185.2 min  workers=30
[  88.9 min]  391/1080 (36.2%)  rate= 4.2/min  eta=164.8 min  workers=30
[  89.4 min]  394/1080 (36.5%)  rate= 4.2/min  eta=164.0 min  workers=30
[  89.9 min]  394/1080 (36.5%)  rate= 4.0/min  eta=173.1 min  workers=30
[  90.4 min]  395/1080 (36.6%)  rate= 3.1/min  eta=222.3 min  workers=30
[  90.9 min]  396/1080 (36.7%)  rate= 3.1/min  eta=221.9 min  workers=30
[  91.4 min]  397/1080 (36.8%)  rate= 3.1/min  eta=221.6 min  workers=30
[  91.9 min]  398/1080 (36.9%)  rate= 2.9/min  eta=238.3 min  workers=30
[  92.4 min]  401/1080 (37.1%)  rate= 3.3/min  eta=205.6 min  workers=30
[  92.9 min]  403/1080 (37.3%)  rate= 3.5/min  eta=192.2 min  workers=30
[  93.4 min]  405/1080 (37.5%)  rate= 3.1/min  eta=219.0 min  workers=30
[  93.9 min]  405/1080 (37.5%)  rate= 2.4/min  eta=278.9 min  workers=30
[  94.4 min]  408/1080 (37.8%)  rate= 3.1/min  eta=218.2 min  workers=30
[  94.9 min]  413/1080 (38.2%)  rate= 4.0/min  eta=168.5 min  workers=30
[  95.4 min]  415/1080 (38.4%)  rate= 4.2/min  eta=159.1 min  workers=30
[  95.9 min]  417/1080 (38.6%)  rate= 4.4/min  eta=150.7 min  workers=30
[  96.4 min]  417/1080 (38.6%)  rate= 4.2/min  eta=158.7 min  workers=30
[  96.9 min]  419/1080 (38.8%)  rate= 4.0/min  eta=167.0 min  workers=30
[  97.4 min]  422/1080 (39.1%)  rate= 4.2/min  eta=157.5 min  workers=30
[  97.9 min]  423/1080 (39.2%)  rate= 4.0/min  eta=166.0 min  workers=30
[  98.5 min]  424/1080 (39.3%)  rate= 4.2/min  eta=157.3 min  workers=30
